hospital_names,longitude,latitude
St. David's South Austin Medical Center,30.226062774658203,-97.77456665039062
Ascension Seton Northwest,30.405210494995117,-97.7437515258789
St. David's North Austin Medical Center,30.41156005859375,-97.70639038085938
Baylor Scott & White Clinic - Austin Downtown,30.263111114501953,-97.74260711669922
Baylor Scott & White Medical Center - Lakeway,30.33293914794922,-97.97142028808594
Seton Southwest Hospital,30.226900100708008,-97.8895492553711
Dell Children's Medical Center,30.303455352783203,-97.70735931396484
Dell Seton Medical Center at The University of Texas,30.275590896606445,-97.73481750488281
Ascension Seton Medical Center Austin,30.304731369018555,-97.74609375
St. David's Medical Center,30.289552688598633,-97.7254867553711
The Hospital West Lake Medical Center,30.29566764831543,-97.82579040527344
Heart Hospital of Austin,30.30597496032715,-97.74119567871094
